"id","alert_id","incident_id","model_name","description","status","severity","score","created_at","updated_at","cust_name","date_fetch"
2,WB-21541-20251028-00016,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 19:06:24.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
3,WB-21541-20251028-00015,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 19:05:30.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
4,WB-21541-20251028-00014,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 19:03:56.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
5,WB-21541-20251028-00013,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 18:45:07.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
6,WB-21541-20251028-00012,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 18:44:15.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
7,WB-21541-20251028-00011,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 18:35:54.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
8,WB-21541-20251028-00010,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 18:33:00.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
9,WB-21541-20251028-00009,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 18:32:36.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
10,WB-21541-20251028-00008,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 18:28:33.000,2025-10-28 19:16:38.000,YPPB,2025-10-29 15:26:49.244
1,WB-21541-20251028-00017,IC-21541-20251014-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-10-28 19:16:29.000,2025-10-28 19:16:38.000,YPPB,2025-11-13 09:46:39.677
41,WB-21683-20251027-00009,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 20:36:00.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
42,WB-21683-20251027-00008,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 17:54:28.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
43,WB-21683-20251027-00007,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 15:39:23.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
44,WB-21683-20251027-00006,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 15:08:25.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
45,WB-21683-20251027-00005,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 14:20:31.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
46,WB-21683-20251027-00004,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 13:51:28.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
47,WB-21683-20251027-00003,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 13:40:00.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
48,WB-21683-20251027-00002,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 13:13:52.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
49,WB-21683-20251027-00001,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 12:35:41.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
50,WB-21683-20251027-00000,IC-21683-20251023-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-10-27 11:41:30.000,2025-10-27 20:36:35.000,Felcra,2025-10-29 15:27:49.393
71,WB-21683-20251112-00012,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 17:45:25.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
72,WB-21683-20251112-00011,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 15:47:44.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
